iter,nth,x,iter_converged,error,time_1,time_2,result
438,850,62,26,1.78814e-06,0.002,0.002617,1.00487
439,642,488,29,1.81049e-06,0.003,0.00273,1.00969
440,334,204,28,1.50502e-06,0.003,0.002762,1.01605
441,920,383,29,1.41934e-06,0.003,0.00265,1.00649
442,790,370,29,1.37091e-06,0.003,0.002651,1.00751
443,65,181,28,1.33365e-06,0.004,0.002879,1.08326
444,480,991,30,1.84216e-06,0.002,0.002737,1.01448
445,87,926,30,1.72108e-06,0.003,0.002933,1.08168
446,634,151,28,1.11014e-06,0.002,0.002667,1.00794
447,440,431,29,1.59815e-06,0.003,0.002695,1.01388
448,90,267,28,1.9744e-06,0.003,0.002839,1.06405
449,549,320,29,1.18464e-06,0.002,0.002836,1.01056
450,317,968,30,1.79932e-06,0.004,0.002718,1.02193
451,747,275,29,1.017e-06,0.003,0.002638,1.00755
452,510,227,28,1.67638e-06,0.002,0.00266,1.01069
453,583,199,28,1.46776e-06,0.003,0.002743,1.00912
454,827,963,30,1.79e-06,0.003,0.00271,1.00834
455,176,16,24,1.66893e-06,0.002,0.002515,1.01588
456,807,592,30,1.09896e-06,0.004,0.002897,1.00794
457,754,500,29,1.85519e-06,0.002,0.002645,1.00828
458,698,106,27,1.54972e-06,0.002,0.002612,1.0067
459,592,473,29,1.75461e-06,0.003,0.00273,1.01046
460,850,71,27,1.02818e-06,0.002,0.002681,1.00503
461,92,386,29,1.43051e-06,0.003,0.002813,1.06688
462,296,487,29,1.80677e-06,0.004,0.002737,1.02113
463,371,93,27,1.35601e-06,0.003,0.002703,1.01229
464,132,283,29,1.04681e-06,0.004,0.002851,1.0437
465,432,941,30,1.74902e-06,0.002,0.002765,1.01598
